servicio;servicio_padre;servicio_abrev_viz;tipo;valor
Actividades de comunicación: Recibir o enviar correo electrónico;Actividades de comunicación;Recibir o enviar correo electrónico;Total Personas;81,9
Actividades de comunicación: Recibir o enviar correo electrónico;Actividades de comunicación;Recibir o enviar correo electrónico;Edad: De 16 a 24 años;92,2
Actividades de comunicación: Recibir o enviar correo electrónico;Actividades de comunicación;Recibir o enviar correo electrónico;Edad: De 25 a 34 años;91,1
Actividades de comunicación: Recibir o enviar correo electrónico;Actividades de comunicación;Recibir o enviar correo electrónico;Edad: De 35 a 44 años;88,6
Actividades de comunicación: Recibir o enviar correo electrónico;Actividades de comunicación;Recibir o enviar correo electrónico;Edad: De 45 a 54 años;84,4
Actividades de comunicación: Recibir o enviar correo electrónico;Actividades de comunicación;Recibir o enviar correo electrónico;Edad: De 55 a 64 años;70,1
Actividades de comunicación: Recibir o enviar correo electrónico;Actividades de comunicación;Recibir o enviar correo electrónico;Edad: De 65 a 74 años;54,2
Actividades de comunicación: Telefonear o realizar videollamadas a través de Internet;Actividades de comunicación;Videollamadas a través de Internet;Total Personas;83,4
Actividades de comunicación: Telefonear o realizar videollamadas a través de Internet;Actividades de comunicación;Videollamadas a través de Internet;Edad: De 16 a 24 años;94
Actividades de comunicación: Telefonear o realizar videollamadas a través de Internet;Actividades de comunicación;Videollamadas a través de Internet;Edad: De 25 a 34 años;91,2
Actividades de comunicación: Telefonear o realizar videollamadas a través de Internet;Actividades de comunicación;Videollamadas a través de Internet;Edad: De 35 a 44 años;86,6
Actividades de comunicación: Telefonear o realizar videollamadas a través de Internet;Actividades de comunicación;Videollamadas a través de Internet;Edad: De 45 a 54 años;81
Actividades de comunicación: Telefonear o realizar videollamadas a través de Internet;Actividades de comunicación;Videollamadas a través de Internet;Edad: De 55 a 64 años;76,2
Actividades de comunicación: Telefonear o realizar videollamadas a través de Internet;Actividades de comunicación;Videollamadas a través de Internet;Edad: De 65 a 74 años;67,9
Actividades de comunicación: Participar en redes sociales (con un perfil de usuario);Actividades de comunicación;Participar en rrss;Total Personas;69,4
Actividades de comunicación: Participar en redes sociales (con un perfil de usuario);Actividades de comunicación;Participar en rrss;Edad: De 16 a 24 años;93,3
Actividades de comunicación: Participar en redes sociales (con un perfil de usuario);Actividades de comunicación;Participar en rrss;Edad: De 25 a 34 años;86
Actividades de comunicación: Participar en redes sociales (con un perfil de usuario);Actividades de comunicación;Participar en rrss;Edad: De 35 a 44 años;74,6
Actividades de comunicación: Participar en redes sociales (con un perfil de usuario);Actividades de comunicación;Participar en rrss;Edad: De 45 a 54 años;64
Actividades de comunicación: Participar en redes sociales (con un perfil de usuario);Actividades de comunicación;Participar en rrss;Edad: De 55 a 64 años;53
Actividades de comunicación: Participar en redes sociales (con un perfil de usuario);Actividades de comunicación;Participar en rrss;Edad: De 65 a 74 años;40,2
Actividades de comunicación: Usar mensajería instantánea;Actividades de comunicación;Usar mensajería instantánea;Total Personas;96
Actividades de comunicación: Usar mensajería instantánea;Actividades de comunicación;Usar mensajería instantánea;Edad: De 16 a 24 años;98,7
Actividades de comunicación: Usar mensajería instantánea;Actividades de comunicación;Usar mensajería instantánea;Edad: De 25 a 34 años;99,2
Actividades de comunicación: Usar mensajería instantánea;Actividades de comunicación;Usar mensajería instantánea;Edad: De 35 a 44 años;97
Actividades de comunicación: Usar mensajería instantánea;Actividades de comunicación;Usar mensajería instantánea;Edad: De 45 a 54 años;96,4
