servicio;servicio_padre;servicio_abrev;tipo;valor
Actividades de comunicación: Recibir o enviar correo electrónico;Actividades de comunicación;Recibir o enviar correo electrónico;16_24;91,9
Actividades de comunicación: Recibir o enviar correo electrónico;Actividades de comunicación;Recibir o enviar correo electrónico;25_34;91,6
Actividades de comunicación: Recibir o enviar correo electrónico;Actividades de comunicación;Recibir o enviar correo electrónico;35_44;90,5
Actividades de comunicación: Recibir o enviar correo electrónico;Actividades de comunicación;Recibir o enviar correo electrónico;45_54;86,2
Actividades de comunicación: Recibir o enviar correo electrónico;Actividades de comunicación;Recibir o enviar correo electrónico;55_64;76,1
Actividades de comunicación: Recibir o enviar correo electrónico;Actividades de comunicación;Recibir o enviar correo electrónico;65_74;61,3
Actividades de comunicación: Telefonear o realizar videollamadas a través de internet;Actividades de comunicación;Videollamadas a través de Internet;16_24;93,8
Actividades de comunicación: Telefonear o realizar videollamadas a través de internet;Actividades de comunicación;Videollamadas a través de Internet;25_34;87,9
Actividades de comunicación: Telefonear o realizar videollamadas a través de internet;Actividades de comunicación;Videollamadas a través de Internet;35_44;85,2
Actividades de comunicación: Telefonear o realizar videollamadas a través de internet;Actividades de comunicación;Videollamadas a través de Internet;45_54;77,3
Actividades de comunicación: Telefonear o realizar videollamadas a través de internet;Actividades de comunicación;Videollamadas a través de Internet;55_64;72,7
Actividades de comunicación: Telefonear o realizar videollamadas a través de internet;Actividades de comunicación;Videollamadas a través de Internet;65_74;65,4
Actividades de comunicación: Participar en redes sociales;Actividades de comunicación;Participar en redes sociales;16_24;93,5
Actividades de comunicación: Participar en redes sociales;Actividades de comunicación;Participar en redes sociales;25_34;86,4
Actividades de comunicación: Participar en redes sociales;Actividades de comunicación;Participar en redes sociales;35_44;75,6
Actividades de comunicación: Participar en redes sociales;Actividades de comunicación;Participar en redes sociales;45_54;63
Actividades de comunicación: Participar en redes sociales;Actividades de comunicación;Participar en redes sociales;55_64;52,8
Actividades de comunicación: Participar en redes sociales;Actividades de comunicación;Participar en redes sociales;65_74;38,7
Actividades de comunicación: Usar mensajería instantánea;Actividades de comunicación;Usar mensajería instantánea;16_24;97,9
Actividades de comunicación: Usar mensajería instantánea;Actividades de comunicación;Usar mensajería instantánea;25_34;98
Actividades de comunicación: Usar mensajería instantánea;Actividades de comunicación;Usar mensajería instantánea;35_44;97
Actividades de comunicación: Usar mensajería instantánea;Actividades de comunicación;Usar mensajería instantánea;45_54;95,9
Actividades de comunicación: Usar mensajería instantánea;Actividades de comunicación;Usar mensajería instantánea;55_64;94,7
Actividades de comunicación: Usar mensajería instantánea;Actividades de comunicación;Usar mensajería instantánea;65_74;91,6
Actividades de acceso a la información: Leer noticias, periódicos o revistas de actualidad online;Actividades de acceso a la información;Leer noticias online;16_24;78
Actividades de acceso a la información: Leer noticias, periódicos o revistas de actualidad online;Actividades de acceso a la información;Leer noticias online;25_34;85,1
Actividades de acceso a la información: Leer noticias, periódicos o revistas de actualidad online;Actividades de acceso a la información;Leer noticias online;35_44;86,6
Actividades de acceso a la información: Leer noticias, periódicos o revistas de actualidad online;Actividades de acceso a la información;Leer noticias online;45_54;82,3
Actividades de acceso a la información: Leer noticias, periódicos o revistas de actualidad online;Actividades de acceso a la información;Leer noticias online;55_64;80,1
Actividades de acceso a la información: Leer noticias, periódicos o revistas de actualidad online;Actividades de acceso a la información;Leer noticias online;65_74;71,4
Actividades de acceso a la información: Buscar información sobre temas de salud;Actividades de acceso a la información;Buscar inf. sobre temas de salud;16_24;72,2
Actividades de acceso a la información: Buscar información sobre temas de salud;Actividades de acceso a la información;Buscar inf. sobre temas de salud;25_34;81
Actividades de acceso a la información: Buscar información sobre temas de salud;Actividades de acceso a la información;Buscar inf. sobre temas de salud;35_44;79,7
Actividades de acceso a la información: Buscar información sobre temas de salud;Actividades de acceso a la información;Buscar inf. sobre temas de salud;45_54;75
Actividades de acceso a la información: Buscar información sobre temas de salud;Actividades de acceso a la información;Buscar inf. sobre temas de salud;55_64;69,8
Actividades de acceso a la información: Buscar información sobre temas de salud;Actividades de acceso a la información;Buscar inf. sobre temas de salud;65_74;58,5
Actividades de acceso a la información: Buscar información sobre bienes o servicios;Actividades de acceso a la información;Buscar inf. sobre bienes y servicios;16_24;79,9
Actividades de acceso a la información: Buscar información sobre bienes o servicios;Actividades de acceso a la información;Buscar inf. sobre bienes y servicios;25_34;88,7
Actividades de acceso a la información: Buscar información sobre bienes o servicios;Actividades de acceso a la información;Buscar inf. sobre bienes y servicios;35_44;83,8
Actividades de acceso a la información: Buscar información sobre bienes o servicios;Actividades de acceso a la información;Buscar inf. sobre bienes y servicios;45_54;80,7
Actividades de acceso a la información: Buscar información sobre bienes o servicios;Actividades de acceso a la información;Buscar inf. sobre bienes y servicios;55_64;73,7
Actividades de acceso a la información: Buscar información sobre bienes o servicios;Actividades de acceso a la información;Buscar inf. sobre bienes y servicios;65_74;57,5
